ciudad,dia_semana,nombre_dia,hora,CO,NO2,O3,PM25,SO2
CDMX,1,Tuesday,18,0.3373643813006066,0.0209430903738831,0.03578745134799254,17.572341124143993,0.0021239253536337933
CDMX,1,Tuesday,19,0.3762734344869985,0.02322508114677486,0.02847340237701595,16.871395209215038,0.0020833193605838767
CDMX,1,Tuesday,20,0.38980439715810955,0.024270252258909202,0.023917418422873576,16.627234489572572,0.0021843477331040797
CDMX,1,Tuesday,21,0.38940515614608084,0.02475536681704525,0.020507894326644845,16.559712904107677,0.002354118256567455
CDMX,1,Tuesday,22,0.3778050304878574,0.024499657675118146,0.01820866943160686,16.330310213140454,0.0026403167671474543
CDMX,1,Tuesday,23,0.33917196456841114,0.02349711440110215,0.017047293699870195,16.134685121590834,0.0028907814655265668
CDMX,2,Wednesday,0,0.297149413914297,0.021766046995646333,0.016324217102456868,16.800136487637378,0.0028823857751190756
CDMX,2,Wednesday,1,0.2578729978664478,0.020326065541820912,0.015721564169230613,16.892468185383027,0.002842245485651474
CDMX,2,Wednesday,2,0.2330283295532315,0.019403261407737606,0.014827337404285934,16.986578734266985,0.0027740907057666746
CDMX,2,Wednesday,3,0.22487721775871725,0.019275832589186012,0.0134143047678269,17.262384426185534,0.0027881696988938404
CDMX,2,Wednesday,4,0.2679411078396165,0.021109690256170988,0.010813641246302227,17.963317696900575,0.002790633617928112
CDMX,2,Wednesday,5,0.4200014506301769,0.024472410523657347,0.007545193388440033,19.233778185027695,0.0029112454117414793
CDMX,2,Wednesday,6,0.689229265989973,0.02699311682060202,0.005565470275855304,21.021173979596725,0.003158779518885001
CDMX,2,Wednesday,7,0.8910516191994523,0.027844406034047836,0.007229683619105766,22.53578147305328,0.003823116716700741
CDMX,2,Wednesday,8,0.7888273556861606,0.02937410958927674,0.013377489601473256,24.20937059637462,0.004721691645552406
CDMX,2,Wednesday,9,0.6222615355272179,0.029750228798637066,0.02358573118914115,26.079225805253348,0.004903365992492191
CDMX,2,Wednesday,10,0.4934877862222628,0.027035493585829285,0.036482974445207726,26.94106289217006,0.0045214406872844766
CDMX,2,Wednesday,11,0.3828900875588242,0.022014704421837474,0.04969244538876701,25.224830242942144,0.0036657390301745056
CDMX,2,Wednesday,12,0.3058610351473008,0.017353996797941047,0.060090665716600176,23.184587465097948,0.0029305026873591438
CDMX,2,Wednesday,13,0.2640902875051612,0.014671917080715089,0.06630529035328539,21.203541142353817,0.0025788965174267835
