ciudad,fecha,anio,mes,dia_semana,nombre_dia,semana,estacion_anio,CO,NO2,O3,PM25,SO2
Guadalajara,2021-09-04,2021,9,5,Saturday,35,Otoño,0.6154861111111111,0.015069444444444446,0.01268452380952381,16.666666666666668,0.0011805555555555556
Guadalajara,2021-09-05,2021,9,6,Sunday,35,Otoño,0.4845833333333333,0.011145833333333334,0.019604166666666666,,0.0010416666666666667
Guadalajara,2021-09-06,2021,9,0,Monday,36,Otoño,0.6186805555555556,0.0129,0.014601190476190476,,0.0014444444444444444
Guadalajara,2021-09-07,2021,9,1,Tuesday,36,Otoño,0.5100833333333333,0.013305555555555555,0.01398611111111111,,0.0013750000000000001
Guadalajara,2021-09-08,2021,9,2,Wednesday,36,Otoño,0.58275,0.011125000000000001,0.008775,,0.0014444444444444444
Guadalajara,2021-09-09,2021,9,3,Thursday,36,Otoño,0.6822500000000001,0.012781250000000001,0.012979166666666667,13.354166666666666,0.00121875
Guadalajara,2021-09-10,2021,9,4,Friday,36,Otoño,0.7779166666666667,0.0188125,0.017145833333333336,22.458333333333332,0.0011979166666666668
Guadalajara,2021-09-11,2021,9,5,Saturday,36,Otoño,0.71625,0.018010416666666668,0.020875,26.782608695652176,0.0014791666666666668
Guadalajara,2021-09-12,2021,9,6,Sunday,36,Otoño,0.6197916666666666,0.014666666666666666,0.018234375,24.476190476190474,0.0011333333333333334
Guadalajara,2021-09-13,2021,9,0,Monday,37,Otoño,0.54125,0.014260416666666666,0.01702604166666667,15.61111111111111,0.0014791666666666668
Guadalajara,2021-09-14,2021,9,1,Tuesday,37,Otoño,0.60475,0.011927083333333333,0.014922619047619047,,0.0010277777777777778
Guadalajara,2021-09-15,2021,9,2,Wednesday,37,Otoño,0.6415972222222223,0.01140625,0.01586458333333333,10.333333333333334,0.00125
Guadalajara,2021-09-16,2021,9,3,Thursday,37,Otoño,0.515625,0.0076875,0.01321875,8.35,0.0013035714285714285
Guadalajara,2021-09-17,2021,9,4,Friday,37,Otoño,0.6076666666666667,0.00946875,0.013642857142857142,,0.0011597222222222224
Guadalajara,2021-09-18,2021,9,5,Saturday,37,Otoño,0.5790000000000001,0.010958333333333334,0.017601190476190475,11.19047619047619,0.0011416666666666667
Guadalajara,2021-09-19,2021,9,6,Sunday,37,Otoño,0.5437500000000001,0.009375,0.018285714285714284,,0.0012000000000000001
Guadalajara,2021-09-20,2021,9,0,Monday,38,Otoño,0.6151666666666666,0.013141666666666668,0.017062499999999998,,0.0016750000000000003
Guadalajara,2021-09-21,2021,9,1,Tuesday,38,Otoño,0.5456666666666666,0.011364583333333332,0.021191666666666668,16.789473684210527,0.0012569444444444444
Guadalajara,2021-09-22,2021,9,2,Wednesday,38,Otoño,0.7273611111111111,0.016525,0.018220238095238095,22.0,0.0012023809523809524
Guadalajara,2021-09-23,2021,9,3,Thursday,38,Otoño,0.49395833333333333,0.01392361111111111,0.023065476190476192,21.238095238095237,0.0008472222222222223
Guadalajara,2021-09-24,2021,9,4,Friday,38,Otoño,0.6907142857142857,0.017197916666666667,0.02795238095238095,18.833333333333332,0.0010555555555555555
Guadalajara,2021-09-25,2021,9,5,Saturday,38,Otoño,0.7374305555555556,0.0166875,0.022111111111111113,21.5625,0.0016011904761904763
Guadalajara,2021-09-26,2021,9,6,Sunday,38,Otoño,0.5808333333333333,0.012083333333333333,0.025909722222222223,17.083333333333332,0.0008958333333333334
Guadalajara,2021-09-27,2021,9,0,Monday,39,Otoño,0.7320833333333333,0.017625,0.019944444444444445,17.38095238095238,0.0012321428571428572
Guadalajara,2021-09-28,2021,9,1,Tuesday,39,Otoño,0.6470833333333333,0.014516666666666666,0.020194444444444445,14.272727272727273,0.0011041666666666667
Guadalajara,2021-09-29,2021,9,2,Wednesday,39,Otoño,0.6069444444444444,0.012525000000000001,0.024470238095238097,12.65,0.0012916666666666667
Guadalajara,2021-09-30,2021,9,3,Thursday,39,Otoño,0.7061805555555556,0.01375595238095238,0.015284722222222222,16.291666666666668,0.001595238095238095
Guadalajara,2021-10-01,2021,10,4,Friday,39,Otoño,0.6184722222222222,0.015666666666666666,0.0201875,14.958333333333334,0.0010885416666666667
Guadalajara,2021-10-02,2021,10,5,Saturday,39,Otoño,0.6290972222222222,0.013756944444444445,0.021054563492063496,16.86842105263158,0.0008038194444444446
Guadalajara,2021-10-03,2021,10,6,Sunday,39,Otoño,0.6302083333333334,0.011138888888888887,0.01718452380952381,13.0,0.0007500000000000001
Guadalajara,2021-10-04,2021,10,0,Monday,40,Otoño,0.6440277777777778,0.014214285714285714,0.01375595238095238,,0.0012023809523809524
Guadalajara,2021-10-05,2021,10,1,Tuesday,40,Otoño,0.6084722222222222,0.012797619047619049,0.013636904761904762,,0.0011197916666666667
Guadalajara,2021-10-06,2021,10,2,Wednesday,40,Otoño,0.6079166666666667,0.015125,0.013642857142857144,17.916666666666668,0.00115625
Guadalajara,2021-10-07,2021,10,3,Thursday,40,Otoño,0.7488194444444445,0.01673611111111111,0.017416666666666667,18.428571428571427,0.0013177083333333333
Guadalajara,2021-10-08,2021,10,4,Friday,40,Otoño,0.766,0.018097222222222223,0.01888888888888889,20.65909090909091,0.0011190476190476191
Guadalajara,2021-10-09,2021,10,5,Saturday,40,Otoño,0.65075,0.019466666666666667,0.025381944444444443,26.5625,0.0011547619047619047
Guadalajara,2021-10-10,2021,10,6,Sunday,40,Otoño,0.5764166666666667,0.013118055555555556,0.022597222222222223,19.17391304347826,0.001255952380952381
Guadalajara,2021-10-11,2021,10,0,Monday,41,Otoño,0.5386666666666667,0.011025,0.016916666666666667,12.142857142857142,0.0010416666666666667
Guadalajara,2021-10-12,2021,10,1,Tuesday,41,Otoño,0.6050833333333333,0.011349999999999999,0.014347222222222221,14.333333333333334,0.0011510416666666667
Guadalajara,2021-10-13,2021,10,2,Wednesday,41,Otoño,0.51625,0.011483333333333333,0.009833333333333335,16.88888888888889,0.0012142857142857144
Guadalajara,2021-10-14,2021,10,3,Thursday,41,Otoño,0.7353333333333333,0.018125,0.02639583333333333,24.5625,0.0014285714285714286
Guadalajara,2021-10-15,2021,10,4,Friday,41,Otoño,0.9382638888888889,0.024241666666666665,0.024733333333333333,35.020833333333336,0.0017135416666666668
Guadalajara,2021-10-16,2021,10,5,Saturday,41,Otoño,0.5603472222222222,0.016472222222222225,0.015276041666666665,21.5,0.0013750000000000001
Guadalajara,2021-10-17,2021,10,6,Sunday,41,Otoño,0.5609027777777778,0.011604166666666665,0.018239583333333333,16.795454545454547,0.0013796296296296297
Guadalajara,2021-10-18,2021,10,0,Monday,42,Otoño,0.5260833333333333,0.017604166666666667,0.024220238095238097,25.229166666666668,0.0017552083333333334
Guadalajara,2021-10-19,2021,10,1,Tuesday,42,Otoño,0.7014999999999999,0.016729166666666666,0.022250000000000002,21.291666666666668,0.0013593750000000001
Guadalajara,2021-10-20,2021,10,2,Wednesday,42,Otoño,0.62725,0.015508333333333334,0.023571428571428573,21.0,0.0013854166666666667
Guadalajara,2021-10-21,2021,10,3,Thursday,42,Otoño,0.6765625000000001,0.016125,0.017701388888888888,20.08695652173913,0.0012678571428571428
Guadalajara,2021-10-22,2021,10,4,Friday,42,Otoño,0.6151041666666667,0.01928125,0.01373611111111111,26.291666666666668,0.0013125
Guadalajara,2021-10-23,2021,10,5,Saturday,42,Otoño,0.6726041666666666,0.02152777777777778,0.024319444444444446,34.708333333333336,0.001494047619047619
Guadalajara,2021-10-24,2021,10,6,Sunday,42,Otoño,0.7636458333333334,0.018555555555555558,0.019118055555555555,26.729166666666668,0.0012083333333333334
